Модель,Год,Пробег,Цена,Описание
"BMW 7 серия E32",1990,500000,1777,"механика, 3,0 л, бензин, седан"
"BMW 3 серия E36",1995,530000,3000,"механика, 1,7 л, дизель, седан"
"BMW X3 G01 · Рестайлинг",2022,36000,59900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW i3 I01 · Рестайлинг",2020,99000,21500,"автомат, электро, хэтчбек 5 дв., запас хода 300 км"
"BMW iX1",2023,11000,31991,"автомат, электро, внедорожник 5 дв., запас хода 450 км"
"BMW 7 серия F02 (Long)",2010,306000,18500,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия E39 · Рестайлинг",2002,500000,6000,"автомат, 2,2 л, бензин, седан"
"BMW 5 серия E39",1996,350000,5800,"автомат, 2,8 л, бензин, седан"
"BMW X5 G05",2021,48980,84000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2002,265000,5600,"механика, 2,2 л, бензин, седан"
"BMW X1 F48",2019,235000,19200,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW 5 серия E34",1994,350000,1100,"механика, 2,5 л, дизель, седан"
"BMW i4",2023,5900,49999,"автомат, электро, седан, запас хода 500 км"
"BMW 2 серия F44",2023,27000,34000,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия E34",1994,300000,2200,"механика, 2,5 л, дизель, универсал"
"BMW X6 E71",2011,198870,15990,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW X5 E70",2007,309000,15000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39",1999,300000,3900,"механика, 2,5 л, дизель, седан"
"BMW 5 серия E39",1998,480000,4350,"механика, 2,8 л, бензин, седан"
"BMW 5 серия G30, G31",2020,99675,31400,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E39 · Рестайлинг",2001,321000,7700,"механика, 2,9 л, дизель, седан"
"BMW 5 серия G30, G31",2019,145700,29750,"автомат, 2,0 л, бензин (гибрид), седан"
"BMW 3 серия F34 (GT) · Рестайлинг",2019,197000,26000,"автомат, 2,0 л, дизель, лифтбек"
"BMW 7 серия G12 (Long) · Рестайлинг",2020,61755,76350,"автомат, 3,0 л, дизель, седан"
"BMW X5 E70 · Рестайлинг",2010,308000,17397,"автомат, 3,0 л, бензин, внедорожник 5 дв."
