Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
21201,26597,2021,0,150000,1,1.5,21950,0,0,0,0,0,1,0,0,0,0,1
21440,18615,2021,1,152900,0,1.5,17150,0,0,0,0,1,0,0,0,0,0,1
16748,24802,2017,1,237000,2,2.0,18000,0,0,0,1,0,0,0,0,0,0,1
35692,41733,2018,0,219659,2,3.0,41000,1,0,0,0,0,0,0,0,0,0,1
16748,6023,1994,0,316000,0,1.8,2950,0,0,0,0,0,1,0,0,0,1,0
37697,33004,2016,0,260000,2,3.0,33900,1,0,0,0,0,0,0,0,0,0,1
36510,41902,2022,1,49000,2,2.0,42800,1,0,0,0,0,0,0,0,0,1,0
35108,17019,2005,0,228000,2,3.0,8999,1,0,0,0,0,0,0,0,0,1,0
35108,41733,2021,1,72000,2,2.0,59900,1,0,0,0,0,0,0,0,0,1,0
17403,38737,2019,0,139000,2,2.0,34900,0,0,0,0,0,0,1,0,0,0,1
17403,7029,2001,1,485000,0,2.5,7800,0,0,0,0,0,1,0,0,0,0,1
16968,39564,2021,1,51000,2,2.0,52000,0,0,0,0,0,1,0,0,0,1,0
17225,39036,2017,0,134100,2,2.0,32900,0,0,0,0,0,1,0,0,0,0,1
23377,23246,2021,1,120000,1,1.5,21300,1,0,0,0,0,0,0,0,0,1,0
20704,26597,2020,0,110000,1,1.5,28500,0,0,0,0,0,1,0,0,0,0,1
17225,20539,2009,0,386000,2,3.0,16500,0,0,0,1,0,0,0,0,0,0,1
38673,66458,2023,1,76000,2,3.0,120000,1,0,0,0,0,0,0,0,0,0,1
37344,69427,2023,1,70000,2,3.0,79900,1,0,0,0,0,0,0,0,0,1,0
38052,69427,2020,0,142004,2,2.0,48500,1,0,0,0,0,0,0,0,0,0,1
16968,38759,2021,1,94000,2,3.0,65990,0,0,0,0,0,1,0,0,0,1,0
17322,12669,2007,1,410000,2,3.0,15500,0,0,0,0,0,1,0,0,0,0,1
38076,13591,2000,0,521950,2,3.0,9250,1,0,0,0,0,0,0,0,0,1,0
17161,5591,1995,0,320000,0,2.0,3850,0,0,0,0,0,1,0,0,0,1,0
16968,6988,1999,0,408000,2,2.9,5250,0,0,0,0,0,0,1,0,0,0,1
37697,18907,2011,1,260000,2,3.0,23000,1,0,0,0,0,0,0,0,0,0,1
23139,23015,2020,1,160000,2,2.0,35950,1,0,0,0,0,0,0,0,0,0,1
17574,38759,2020,1,97000,2,3.0,59900,0,0,0,0,0,0,1,0,0,0,1
17403,20390,2009,0,230300,2,3.0,17300,0,0,0,1,0,0,0,0,0,1,0
47262,47962,2020,0,155000,2,3.0,49600,1,0,0,0,0,0,0,0,0,0,1
16748,36993,2019,0,109000,2,2.0,34500,0,0,0,0,0,1,0,0,0,0,1
39819,49540,2023,0,28000,2,2.0,39900,0,0,0,1,0,0,0,0,0,1,0
38814,49615,2021,0,19000,2,2.0,46100,0,1,0,0,0,0,0,0,0,1,0
35530,41456,2020,0,74000,2,3.0,63500,1,0,0,0,0,0,0,0,0,0,1
23139,23491,2022,1,114000,1,1.5,25950,1,0,0,0,0,0,0,0,0,0,1
37697,19240,2008,0,230589,2,4.8,10900,1,0,0,0,0,0,0,0,0,1,0
16552,37773,2019,0,125000,2,2.0,29999,0,0,0,0,0,1,0,0,0,1,0
21066,14442,2003,0,360000,2,4.4,7000,0,0,0,0,0,1,0,0,0,1,0
37697,13667,2002,0,390000,2,3.0,8950,1,0,0,0,0,0,0,0,0,1,0
17681,19586,2012,0,120000,2,1.6,10000,0,0,0,0,0,0,0,0,1,1,0
17161,37773,2019,0,150000,2,3.0,39999,0,0,0,0,0,0,1,0,0,0,1
17161,7932,2000,0,445000,0,2.0,6099,0,0,0,0,0,0,1,0,0,0,1
17574,12921,2006,0,184000,2,3.0,11000,0,0,0,0,0,1,0,0,0,1,0
17322,12808,2008,1,325000,2,2.0,11150,0,0,0,0,0,0,1,0,0,0,1
16968,20672,2012,0,350000,2,3.0,17600,0,0,0,0,0,1,0,0,0,0,1
17403,39008,2019,0,110391,2,2.0,31900,0,0,0,0,0,1,0,0,0,1,0
37697,18907,2013,1,316000,2,3.0,23500,1,0,0,0,0,0,0,0,0,0,1
40244,26715,2015,0,162000,2,2.0,21000,0,0,0,1,0,0,0,0,0,1,0
16552,36929,2020,0,260000,2,2.0,28500,0,0,0,0,0,0,1,0,0,0,1
16552,7973,1998,0,375000,0,1.9,4100,0,0,0,0,0,1,0,0,0,1,0
17574,39036,2023,1,29300,2,2.0,60000,0,0,0,0,0,1,0,0,0,1,0
37344,68405,2023,0,13000,2,3.0,56000,1,0,0,0,0,0,0,0,0,1,0
17225,39008,2018,0,180000,2,2.0,25500,0,0,0,0,0,1,0,0,0,1,0
35692,16444,2005,0,323000,2,3.0,9000,1,0,0,0,0,0,0,0,0,1,0
35530,16227,2006,1,285000,0,2.0,11700,1,0,0,0,0,0,0,0,0,0,1
37697,19046,2010,1,213754,2,3.0,17499,1,0,0,0,0,0,0,0,0,1,0
17403,38759,2018,0,220000,2,3.0,33100,0,0,0,0,0,1,0,0,0,0,1
38052,19237,2010,1,240000,2,3.0,17999,1,0,0,0,0,0,0,0,0,1,0
17403,6918,2000,1,358000,0,2.2,6500,0,0,0,0,0,1,0,0,0,1,0
21066,40126,2016,0,175000,2,3.0,32000,0,0,0,0,0,1,0,0,0,1,0
17225,39008,2020,0,125000,2,2.0,36000,0,0,0,0,0,0,1,0,0,0,1
17161,20325,2014,0,162000,2,2.0,16000,0,0,0,0,0,1,0,0,0,1,0
35692,41700,2022,1,83000,2,2.0,42500,1,0,0,0,0,0,0,0,0,1,0
21278,18615,2018,0,135000,0,1.5,14700,0,0,0,0,1,0,0,0,0,1,0
77448,73554,2021,0,45000,2,3.0,72999,1,0,0,0,0,0,0,0,0,1,0
20269,20761,2014,1,150000,2,4.4,16999,0,0,0,0,0,1,0,0,0,1,0
20542,15743,2007,1,274000,2,4.4,12999,0,0,0,0,0,1,0,0,0,0,1
17403,20410,2016,1,177000,2,2.0,19999,0,0,0,0,0,1,0,0,0,1,0
20704,26747,2020,0,207500,1,1.5,21500,0,0,0,0,0,1,0,0,0,0,1
35108,16820,2004,0,270000,2,3.0,8500,1,0,0,0,0,0,0,0,0,1,0
20269,20559,2009,0,250000,2,4.4,14900,0,0,0,0,0,1,0,0,0,1,0
37408,36506,2021,1,95000,2,2.0,57000,0,0,0,1,0,0,0,0,0,0,1
17322,12870,2003,0,193500,2,3.0,10900,0,0,0,0,0,1,0,0,0,1,0
21066,20639,2009,0,176250,2,3.0,15500,0,0,0,0,0,1,0,0,0,1,0
77448,76559,2019,0,105000,2,3.0,76000,1,0,0,0,0,0,0,0,0,1,0
17322,38759,2020,1,78200,2,3.0,56500,0,0,0,0,0,1,0,0,0,1,0
37697,13503,2003,1,511000,2,3.0,12500,1,0,0,0,0,0,0,0,0,0,1
48659,47824,2021,1,65000,2,3.0,66900,1,0,0,0,0,0,0,0,0,1,0
17574,38737,2021,1,128000,2,2.0,33950,0,0,0,0,0,0,1,0,0,0,1
17574,6988,1998,0,390000,2,2.5,6200,0,0,0,0,0,1,0,0,0,0,1
17403,20232,2011,0,267000,2,3.0,15900,0,0,0,1,0,0,0,0,0,1,0
16519,12952,2006,0,330000,2,2.0,10400,0,0,0,0,0,1,0,0,0,1,0
21201,19731,2021,1,160000,2,1.5,15900,0,0,0,0,1,0,0,0,0,0,1
38052,18907,2010,1,445000,2,3.0,19500,1,0,0,0,0,0,0,0,0,0,1
20269,40126,2016,0,122000,2,3.0,35850,0,0,0,0,0,1,0,0,0,1,0
23341,23593,2019,0,187000,2,2.0,26350,1,0,0,0,0,0,0,0,0,0,1
35530,41456,2021,0,56000,2,3.0,54000,1,0,0,0,0,0,0,0,0,1,0
38052,67133,2019,0,69500,2,3.0,53900,1,0,0,0,0,0,0,0,0,1,0
17574,7000,2001,1,410000,0,2.2,5600,0,0,0,0,0,1,0,0,0,1,0
21201,26455,2020,0,75000,2,2.0,28499,0,0,0,0,0,1,0,0,0,1,0
16552,12952,2009,1,312000,0,2.0,10500,0,0,0,0,0,1,0,0,0,1,0
17574,20517,2015,1,248000,2,2.0,21800,0,0,0,0,0,1,0,0,0,0,1
21278,19522,2015,0,89000,0,1.5,16299,0,0,0,0,1,0,0,0,0,0,1
16968,39036,2017,0,159000,2,2.0,26900,0,0,0,0,0,0,1,0,0,0,1
17140,14642,2006,0,230000,0,1.6,6750,0,0,0,0,0,0,0,0,1,1,0
36998,32926,2015,0,249000,2,2.0,33900,1,0,0,0,0,0,0,0,0,0,1
17161,36993,2020,0,89000,2,2.0,36999,0,0,0,0,0,1,0,0,0,1,0
77569,76044,2020,0,133000,2,3.0,69800,1,0,0,0,0,0,0,0,0,1,0
17161,36993,2019,0,182000,2,2.0,26450,0,0,0,0,0,0,1,0,0,0,1
48849,47962,2019,0,79000,2,2.0,39900,1,0,0,0,0,0,0,0,0,1,0
36551,66018,2020,0,57200,2,3.0,81490,1,0,0,0,0,0,0,0,0,1,0
36551,70354,2020,0,85000,2,3.0,81490,1,0,0,0,0,0,0,0,0,0,1
50682,49771,2019,0,26000,2,4.4,72500,0,1,0,0,0,0,0,0,0,1,0
20542,40083,2021,1,85000,2,3.0,69800,0,0,0,0,0,1,0,0,0,1,0
15881,7785,2001,0,324600,0,1.9,3800,0,0,0,0,0,1,0,0,0,1,0
