Модель,Год,Пробег,Цена,Описание
"BMW 3 серия E90, E91, E92, E93",2007,318000,10650,"автомат, 2,0 л, бензин, седан"
"BMW i3 G28",2025,10,42000,"автомат, электро, седан, запас хода 592 км"
"BMW X3 G01",2020,155000,36800,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW X1 F48 · Рестайлинг",2020,139000,27950,"робот, 1,5 л, дизель, внедорожник 5 дв."
"BMW X6 E71",2008,32000,22500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 U11",2023,31320,45600,"робот, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия F10, F11",2011,315000,20500,"автомат, 3,0 л, дизель, седан"
"BMW X6 G06",2020,106000,79999,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31",2017,175000,34999,"автомат, 3,0 л, дизель, универсал"
"BMW i5",2024,6286,57500,"автомат, электро, седан, запас хода 536 км"
"BMW 2 серия F44",2021,150000,21950,"робот, 1,5 л, дизель, седан"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2021,152900,17150,"механика, 1,5 л, дизель, минивэн"
"BMW 3 серия F34 (GT) · Рестайлинг",2017,237000,18000,"автомат, 2,0 л, дизель, лифтбек"
"BMW X3 G01",2018,219659,41000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия E36",1994,316000,2950,"механика, 1,8 л, бензин, седан"
"BMW X5 F15",2016,260000,33900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 G01 · Рестайлинг",2022,49000,42800,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X3 E83",2005,228000,8999,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW iX1",2023,5700,28900,"автомат, электро, внедорожник 5 дв., запас хода 450 км"
"BMW X3 G01 · Рестайлинг",2021,72000,59900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия G30, G31",2019,139000,34900,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E39 · Рестайлинг",2001,485000,7800,"механика, 2,5 л, дизель, седан"
"BMW 5 серия G30, G31 · Рестайлинг",2021,51000,52000,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия G30, G31",2017,134100,32900,"автомат, 2,0 л, дизель, седан"
"BMW X1 F48 · Рестайлинг",2021,120000,21300,"робот, 1,5 л, бензин, внедорожник 5 дв."
"BMW M8 F91, F92, F93",2019,69000,90000,"автомат, 4,4 л, бензин, купе"
"BMW 2 серия F44",2020,110000,28500,"робот, 1,5 л, дизель, седан"
"BMW 5 серия F07 (GT)",2009,386000,16500,"автомат, 3,0 л, дизель, лифтбек"
